QUESTION_NAME,COLUMN_NAME,PreferNotToAnswerSelection,Reverse_Coded_DuringCollection,SUBSCALE_NAME,SUBSCALE_NAME_2,Your_Scale_Min,Your_Scale_Max,Correct Answer,,,Foraging Yale,,Foraging Pilot,,,Sample Data
SUBJ_ID,_recordId,,,,,,,,,,,,,,,_recordId
BISBAS_1,BISBAS_1,5,0,filler,,1,5,,,,QID17_1,,QID30_1,,,BISBAS_1
BISBAS_2,BISBAS_2,5,0,bis,,1,5,,,,QID17_2,,QID30_2,,,BISBAS_2
BISBAS_3,BISBAS_3,5,0,drive,,1,5,,,,QID17_3,,QID30_3,,,BISBAS_3
BISBAS_4,BISBAS_4,5,0,reward,,1,5,,,,QID17_4,,QID30_4,,,BISBAS_4
BISBAS_5,BISBAS_5,5,0,funseeking,,1,5,,,,QID17_5,,QID30_5,,,BISBAS_5
BISBAS_6,BISBAS_6,5,0,filler,,1,5,,,,QID17_6,,QID30_6,,,BISBAS_6
BISBAS_7,BISBAS_7,5,0,reward,,1,5,,,,QID17_7,,QID30_7,,,BISBAS_7
BISBAS_8,BISBAS_8,5,0,bis,,1,5,,,,QID17_8,,QID30_8,,,BISBAS_8
BISBAS_9,BISBAS_9,5,0,drive,,1,5,,,,QID17_9,,QID30_9,,,BISBAS_9
BISBAS_10,BISBAS_10,5,0,funseeking,,1,5,,,,QID17_10,,QID30_10,,,BISBAS_10
BISBAS_11,BISBAS_11,5,0,filler,,1,5,,,,QID17_11,,QID30_11,,,BISBAS_11
BISBAS_12,BISBAS_12,5,0,drive,,1,5,,,,QID17_12,,QID30_12,,,BISBAS_12
BISBAS_13,BISBAS_13,5,0,bis,,1,5,,,,QID17_13,,QID30_13,,,BISBAS_13
BISBAS_14,BISBAS_14,5,0,reward,,1,5,,,,QID17_14,,QID30_14,,,BISBAS_14
BISBAS_15,BISBAS_15,5,0,funseeking,,1,5,,,,QID17_15,,QID30_15,,,BISBAS_15
BISBAS_16,BISBAS_16,5,0,bis,,1,5,,,,QID17_16,,QID30_16,,,BISBAS_16
BISBAS_17,BISBAS_17,5,0,filler,,1,5,,,,QID17_17,,QID30_17,,,BISBAS_17
BISBAS_18,BISBAS_18,5,0,reward,,1,5,,,,QID17_18,,QID30_18,,,BISBAS_18
BISBAS_19,BISBAS_19,5,0,bis,,1,5,,,,QID17_19,,QID30_19,,,BISBAS_19
BISBAS_20,BISBAS_20,5,0,funseeking,,1,5,,,,QID17_20,,QID30_20,,,BISBAS_20
BISBAS_21,BISBAS_21,5,0,drive,,1,5,,,,QID17_21,,QID30_21,,,BISBAS_21
BISBAS_22,BISBAS_22,5,0,bis,,1,5,,,,QID17_22,,QID30_22,,,BISBAS_22
